,playlist,name,_likelihood,_popularity,distance
2813,BBQ Mixtape,"['All I Want' 'The Phrase That Pays' 'I Came As a Rat' 'Get It Out'
 'Just Like Me']",[168.23485543 166.12927211 156.24320492 155.94795853 154.2543883 ],[67.24045494 66.46463534 61.91049856 61.15806787 61.2270818 ],[0.39968207 0.40007781 0.39624442 0.39216972 0.39692279]
2814,Various Artists - Kill Rock Stars Sampler 2009,"['If You and I Could Be as Two (feat. Van Morrison) - Mono Version'
 'Honey I Sure Miss You' ""Gimme Some Lovin' - Single Mix""
 ""Don't Slip Away"" 'Got To Choose']",[147.12069297 146.49851178 144.22918054 141.39343339 130.22982689],[70.28904215 67.33001998 68.10543246 66.03973556 62.2751969 ],[0.47776449 0.45959525 0.47220287 0.46706367 0.47819458]
2815,The Airborne Toxic Event – The Airborne Toxic Event,"['Back on My Feet Again' ""Jumpin' Jack Flash"" 'Wildest Dreams' 'Party'
 'Have You Ever Seen the Rain?']",[152.64821437 152.26176818 147.65339885 138.17589822 133.21512136],[65.24724788 64.75105392 62.80371402 59.50165363 57.35280178],[0.42743538 0.42526141 0.42534554 0.43062252 0.43052771]
2816,Best of Chilli Peppers,"['Miami' 'Might Just Take Your Life' 'Cowboy Casanova' 'Cowboy Casanova'
 'A Shot in the Arm']",[157.97914677 153.0143638  150.79793649 150.79793649 146.15744229],[60.20032648 58.14254315 57.39612528 57.39612528 55.64595244],[0.38106502 0.37998095 0.38061612 0.38061612 0.3807261 ]
2817,Domu - Look A Little Further,"[""You Can't Put Your Arms Round a Memory"" 'The Void' 'King And Lionheart'
 'King And Lionheart' 'Heart-Shaped Box']",[158.61042715 153.28481447 151.33974244 151.14078869 143.79257649],[62.94427655 61.86158888 60.32244514 60.32244514 57.7843694 ],[0.39684829 0.40357285 0.39858959 0.39911427 0.4018592 ]
2818,Justin Garner – We Only Have Forever,"['My Thoughts On You' 'Smoke Filled Room' 'Find You' 'Wasted & Ready'
 'Say (All I Need)']",[302.33435581 295.77737399 293.25105922 262.88610861 251.7011011 ],[68.39118094 67.53048682 67.03482069 58.88209146 57.12816146],[0.22621042 0.22831526 0.22859191 0.22398327 0.22696826]
2819,Dole's Workout Mix,"[""I Think I'm In Love"" 'The Telephone Always Rings'
 'Go Your Own Way - Sessions, Roughs & Outtakes; 2004 Remaster'
 'None Shall Pass' 'Version City - Remastered']",[135.68288329 127.6509836  124.98965929 121.62209126 117.35899285],[67.52902667 63.3446665  62.00793385 60.31615777 58.09231112],[0.49769746 0.49623328 0.49610451 0.49593094 0.49499667]
2820,ElectroSonar,"['Tobacco Road' 'Oh Yeah!' 'South' 'One Day in Your Life'
 'In Christ Alone']",[196.81184258 191.31696705 188.45303567 179.90205348 178.43345117],[65.30326833 63.86274595 62.68492909 61.18829606 59.39442701],[0.33180558 0.33380597 0.33262892 0.34012005 0.33286599]
2821,Cloud One – Atmosphere Strut,"['Talladega' 'Had Enough' 'So Far From Home' 'Man Next Door'
 'Well Well Well - Remastered 2010']",[245.0738513  219.07684904 206.33000572 159.97374769 158.00356777],[56.6733835  56.12267482 53.05165013 37.90953911 39.1208309 ],[0.23125023 0.25617803 0.25712038 0.2369735  0.2475946 ]
2822,New Zealand Pop,"[""Gimme Some Lovin' - Single Mix"" 'Mi Muñequita Sintética' 'Cherokee'
 'Love → Building on Fire - 2004 Remaster' ""Don't Slip Away""]",[411.61253516 393.44997708 372.87267028 356.71938982 350.67334905],[68.10543246 68.95948333 65.14864749 61.70843491 66.03973556],[0.16546005 0.17526874 0.1747209  0.17298873 0.18832265]
2823,Depeche Mode – Some Great Reward,"['Somebody - Remix' 'Teri Galiyon Mein' 'Greensleeves - Take 4'
 'What Is and What Should Never Be - Rough Mix with Vocal'
 'Luck Be A Lady']",[         inf 719.66973146 603.73448059 404.53222306 381.72120653],[57.92902486 62.24831991 61.39914779 60.34720183 57.20502301],[0.         0.08649568 0.10169893 0.14917774 0.14986074]
2824,Noah Gundersen – Family,"['American Dream' 'Southern Sun' 'Have You Ever Seen the Rain?'
 'Chinese Translation' 'Yes Sir, I Can Boogie']",[262.21128849 259.24441232 254.04567294 253.49229172 238.86232078],[56.76448483 56.73195166 57.35280178 56.56678893 52.71167899],[0.21648376 0.21883577 0.22575784 0.22314994 0.22067808]
2825,[- Elefant -],"['May This Be Love' ""Time's Up"" ""Daddy's Song"" 'Train Man' 'Mind']",[179.45135629 175.90657382 175.39911389 173.86298145 166.23868833],[67.42047906 67.32190205 66.382189   65.94833161 64.13878925],[0.37570337 0.38271396 0.37846365 0.37931209 0.38582348]
2826,Facto Delafe y las flores azules - La luz de la mañana,"['Getting Better - Take 1 / Instrumental And Speech At The End'
 'Getting Better - Take 1 / Instrumental And Speech At The End'
 'Nostalgic' 'May This Be Love' ""Time's Up""]",[155.44243667 153.87348438 151.53811378 147.74289    146.04613798],[70.40928349 69.2296086  67.08287397 67.42047906 67.32190205],[0.4529605  0.44991253 0.44267988 0.45633654 0.46096325]
2827,MUSICOTE CLÁSICA,"['Rite Of Spring' 'Let Your Hair Down (& Shake It Loose)'
 'Brompton Cocktail' 'High Regard' 'Burning Like a Flame']",[         inf 642.52202689 637.29054557 580.48586844 492.44227172],[57.61323352 58.88786176 58.66078563 49.28361545 44.74167024],[0.         0.09165112 0.09204716 0.08490063 0.09085668]
2828,Somewhere Else,"['Luna' 'Take Me Away' 'Song For The Man - Remastered'
 'Hymn for the Weekend' 'Recuérdame (with Marc Anthony)']",[290.19302832 285.94355203 273.88196648 262.15090458 261.42661791],[67.87176404 67.53637027 68.42694787 62.19167989 65.7133964 ],[0.23388489 0.23618777 0.24984101 0.23723618 0.2513646 ]
2829,flying lotus,"['Tesla' 'Paco Rabanne - Original Mix' 'Funky Traffic - Droplex Remix'
 'The Demon' 'True Story - Original Mix']","[           inf 7.08366874e+01 4.93171146e-01 8.19598723e-03
 7.54212502e-03]","[1.30666667e+01 1.53453212e+01 8.15315455e-02 1.53154549e-03
 1.53154549e-03]",[0.         0.21662957 0.165321   0.18686528 0.20306551]
2830,Last Days,"['Get Innocuous!' 'Immunity - Original Mix' 'Mindfields' 'The Pointor'
 'Creatio Ex Nihlio']",[         inf 100.92875537  39.43639533  19.55209317   0.19257285],[ 8.08016807 22.76928014  8.81373807  3.50104348  0.04136348],[0.         0.22559755 0.22349249 0.17906234 0.21479393]
2831,Alberto vazquez,"['Vamonos' 'La Caminera' 'Maldita Sea' 'My Christmas Tree - Stereo'
 ""If You Don't Know Me by Now (feat. Teddy Pendergrass)""]",[         inf 685.89478092 678.20418532 563.18723055 563.02291644],[67.61916604 69.72528666 66.50555512 66.68243434 66.53504633],[0.         0.10165595 0.09806126 0.11840189 0.11817467]
2832,TRIPING,"[""I Think I'm In Love"" 'Spirit In The Sky' 'Gone, Gone, Gone'
 'Letter from America - Band Version' 'Drive']",[182.14213688 175.66855953 175.66704951 174.03941326 162.46778098],[67.52902667 65.63263754 65.88301464 65.43608245 60.34286411],[0.37074906 0.3736163  0.37504481 0.37598427 0.37141434]
2833,Ozzy Osbourne - The Essential Ozzy Osbourne,"['Care Of Cell 44' 'Tobacco Road' ""I Don't Feel No Ways Tired"" 'Sunset'
 'Ends of the Earth']",[199.56784982 192.43061328 190.79797845 189.42184703 180.82016865],[66.95574973 65.30326833 64.88392458 61.89425205 61.45570745],[0.33550369 0.33936008 0.3400661  0.3267535  0.33987197]
2834,Tarmac – L'atelier,"['Soul Miner' 'Main Title (From Kiss Them for Me) (1957)'
 'La Galleguita (Alex Fox)' 'Oh, Pretty Woman' 'Night In Tunisia']",[505.80529126 318.66368073 306.19518297 296.20674036 196.22884208],[61.02680557 44.68363777 49.92483995 49.7459892  31.54555863],[0.12065276 0.14022193 0.16304907 0.16794347 0.16075903]
2835,mingus ,"['Minority' 'Juicy Lucy - Rudy Van Gelder Edition / Remastered'
 'Evidence - Alternate Version' 'The Democratic Circus - 2005 Remaster'
 'Good Morning Little School Girl - 2013 Remaster']",[221.50365042 210.27700945 210.08374721 206.41219995 202.49150975],[64.37519525 65.68189703 64.54159349 64.05061998 62.60958275],[0.29062815 0.31235891 0.3072184  0.31030443 0.30919609]
2836,John Legend ,"['Tobacco Road' 'Train Man' 'So Fine' 'Fire And The Thud'
 'Ends of the Earth']",[174.72821785 172.20936838 165.70804787 162.43487807 160.78906149],[65.30326833 65.94833161 63.24782302 62.2005895  61.45570745],[0.37374197 0.38295438 0.38168226 0.38292632 0.38221324]
2837,conjure one,"[""I Don't Feel No Ways Tired""
 ""It May Be Winter Outside (But In My Heart It's Spring)""
 'this is me trying' 'Cut My Hair' 'Tobacco Road']",[333.25336829 323.71432444 320.62601815 315.25737858 313.23754241],[64.88392458 66.80384126 67.6943721  65.78139361 65.30326833],[0.19469848 0.20636665 0.21113187 0.20865933 0.20847842]
2838,graduation songs to make emily cry,['Tobacco Road' 'Paranoia in B Major' 'No Time' 'Would That I' 'South'],[294.13547548 288.06951875 271.20625345 269.27655354 259.2498027 ],[65.30326833 67.74978296 64.96908883 64.21160215 62.68492909],[0.22201765 0.23518553 0.23955601 0.23845969 0.24179355]
2839,* Musik'10,"['Home' 'In Thee' 'Letter from America - Band Version' 'Tobacco Road'
 'Space Monkey']",[184.41341956 183.24458683 181.31085937 178.95345886 170.7214458 ],[67.2674648  66.26481464 65.43608245 65.30326833 62.87847435],[0.36476448 0.36161949 0.36090548 0.36491761 0.36831034]
2840,#LoMejorDeAqui2014,"['May This Be Love' ""Daddy's Song"" 'Train Man' 'Mind' 'So Fine']",[163.66327795 163.02193727 159.71090262 157.62969457 153.41552124],[67.42047906 66.382189   65.94833161 64.13878925 63.24782302],[0.41194628 0.40719789 0.41292317 0.40689535 0.41226482]
2841,June,"['Train Man' 'Harness Your Hopes - (B-side)' 'Frank Sinatra'
 'Frank Sinatra' 'Frank Sinatra']",[235.74854487 233.42236311 216.10421149 216.10421149 214.31717319],[65.94833161 67.12038708 63.41380338 63.41380338 63.45590865],[0.27974014 0.28754909 0.29344085 0.29344085 0.29608411]
2842,Check out 14,"['Home' 'Train Man' 'In Thee' 'Letter from America - Band Version'
 'Fire And The Thud']",[194.55930459 190.80852781 190.69583097 189.00653931 179.02437803],[67.2674648  65.94833161 66.26481464 65.43608245 62.2005895 ],[0.34574273 0.3456257  0.34748958 0.34621068 0.34744201]
2843,Chill Brasil for Bee-boo,"[""Don't Go Near The Water - Remastered 2009"" 'God Only Knows'
 'Voices In The Sky' 'Room Full of Roses'
 'It Takes A Lot To Laugh, It Takes A Train To Cry']",[175.5952907  175.35995717 171.23770863 170.84520666 165.63091685],[71.07428333 68.90995063 68.51968467 69.19345917 64.85797324],[0.4047619  0.39296286 0.40014367 0.40500673 0.39158132]
2844,102.5 Guest DJ,"['Harness Your Hopes - (B-side)' 'Tobacco Road' 'Train Man' ""Daddy's Song""
 'So Fine']",[177.27719171 172.83195092 171.3975246  171.38146507 162.18924584],[67.12038708 65.30326833 65.94833161 66.382189   63.24782302],[0.37861829 0.37784257 0.38476829 0.38733587 0.38996311]
2845,Spice Girls – Spice,['May This Be Love' 'Train Man' 'Living on a Thin Line' 'Mind' 'Sunset'],[162.863924   161.85771359 153.0406423  152.53580987 147.6315598 ],[67.42047906 65.94833161 64.30184315 64.13878925 61.89425205],[0.41396816 0.40744633 0.42016187 0.42048349 0.41924811]
2846,IN ROTATION,"['Harness Your Hopes - (B-side)' 'May This Be Love' 'Mind' 'Train Man'
 'Once I Had a Sweetheart']",[220.8203258  215.88603693 212.80310164 212.64961717 199.53523904],[67.12038708 67.42047906 64.13878925 65.94833161 62.03426066],[0.30395928 0.31229662 0.30139969 0.31012674 0.31089376]
2847,Mac Miller - Watching Movies with the Sound Off (Deluxe Edition),"['Hats off To (Roy) Harper - Remaster'
 'Hats off To (Roy) Harper - Remaster' 'Skin & Bones' 'Love Is Blue'
 'It Takes A Lot To Laugh, It Takes A Train To Cry']",[189.54506867 189.54506867 177.95342387 177.59926803 173.48198139],[66.72415392 66.72415392 66.13378427 66.56758396 64.85797324],[0.35202263 0.35202263 0.37163536 0.37481902 0.37386   ]
2848,Ennio Morricone,"['Hark! The Herald Angels Sing' 'Hats off To (Roy) Harper - Remaster'
 'Hats off To (Roy) Harper - Remaster' 'Bring It on Home - 1993 Remaster'
 'Dirt']",[252.38594345 252.29190147 252.29190147 225.08164927 215.88000259],[65.42170481 66.72415392 66.72415392 60.7698205  56.78009083],[0.25921295 0.26447204 0.26447204 0.26999012 0.26301691]
2849,Ale'playlist,"['Wildest Dreams' 'Refugee - Alt. Take' 'Jail Bait'
 'Have You Ever Seen the Rain?' 'Broken']",[153.122042   145.06085665 142.60852868 141.16269378 140.82301439],[62.80371402 59.50598716 58.38892375 57.35280178 57.3878265 ],[0.41015463 0.41021395 0.40943501 0.40628866 0.40751738]
2850,INDIE 2011,"[""I Think We're Alone Now""
 ""It May Be Winter Outside (But In My Heart It's Spring)""
 ""Ain't That a Lot of Love""
 'Christmas Must Be Tonight - Recorded at Spotify Studios NYC' 'No Time']",[196.33891057 185.63316339 184.03822783 183.05962993 182.93396069],[70.56317496 66.80384126 65.54826096 65.75774422 64.96908883],[0.35939476 0.35987019 0.35616655 0.35921489 0.35515051]
2851,Novos Baianos – Acabou Chorare,"['Honky Tonk Pt. 1' 'Little Drummer Boy' ""Where Corn Don't Grow""
 ""You Can't Be Beat - Single Version"" 'Sunshine']",[138.93035524 138.88449348 138.51909564 136.92313993 130.83187199],[68.90661298 68.66490286 68.3698437  67.17582729 64.11723883],[0.49597953 0.49440295 0.49357703 0.49060975 0.49007354]
2852,forward.,"['Seven Bridges Road' 'Apricot Princess'
 ""I Just Wasn't Made For These Times - Stereo"" 'Try Some Buy Some' 'Mandy']",[658.71431152 620.06207392 604.55089788 554.28694403 464.32676134],[66.15250456 65.66204532 64.6818209  67.09276085 63.8764186 ],[0.1004267  0.10589592 0.10699152 0.12104337 0.13756782]
2853,Stafford Bawler — Monument Valley (Original Soundtrack),"[""That's The Bag I'm In"" 'San Franciscan Nights' 'Love Song'
 'Love Is Blue' 'Sunset']",[150.30834746 143.74126507 139.83225502 138.2417757  128.67924598],[68.77661187 67.73726972 66.33781489 66.56758396 61.89425205],[0.45757014 0.47124442 0.47440996 0.48153016 0.48099638]
2854,The Good Dzihan & Kamien,"['Whiskey Sunrise'
 ""It May Be Winter Outside (But In My Heart It's Spring)""
 ""Miss Judy's Farm"" ""I Don't Feel No Ways Tired"" 'No Time']",[159.12103936 158.63476869 155.46500513 154.37763701 153.05536971],[67.52135824 66.80384126 64.40495454 64.88392458 64.96908883],[0.4243396  0.42111727 0.414273   0.42029355 0.42448095]
2855,Chuckies,"['Firehouse' ""Don't Eat The Yellow Snow"" 'Hi Roller'
 ""I'm So Green - 2004 Remastered Version"" 'Theme From The A Team']",[183.62755309 180.72064963 178.61185619 173.1828217  170.93460273],[67.61448767 68.68257285 65.70378923 66.98088067 65.66241524],[0.36821537 0.38004828 0.36785794 0.386764   0.38413764]
2856,TLC - Fanmail,"[""I Think I'm In Love"" 'Let the Games Begin' 'Version City - Remastered'
 'Refugee - Alt. Take' ""Haven't Seen It Yet""]",[226.7041812  221.32948329 199.08756417 196.67458186 180.28487328],[67.52902667 66.63719488 58.09231112 59.50598716 53.47552938],[0.29787288 0.3010769  0.29179277 0.30256064 0.29661684]
2857,Love & Reverie,"['May This Be Love' 'Nostalgic' ""Time's Up"" 'Freedom Song' 'Mind']",[165.77014628 160.52397126 158.31293252 157.41897093 153.79760016],[67.42047906 67.08287397 67.32190205 65.48681285 64.13878925],[0.40671062 0.41789942 0.42524575 0.41600331 0.41703375]
2858,Roma,"['Fruto Robado' 'All the Gold In California'
 'The New Soft Shoe - Remastered Version'
 'The Night They Drove Old Dixie Down' '富士山下']",[313.21766407 310.13442161 308.37058086 297.54657494 296.83637505],[69.26353938 69.48484977 66.18114855 64.59345382 66.304413  ],[0.22113548 0.22404753 0.21461564 0.21708687 0.22337024]
2859,Schoolboy Q - Gangsta,"['Stress' ""Gettin' Better"" 'Pornography' 'II. Shadows'
 'Finally Found You - Party Remix']",[177.52431144 175.56837822 169.29251471 164.06240319 150.76227744],[63.1605617  65.63608597 59.59633076 60.84726249 54.9429925 ],[0.35578542 0.37384913 0.35203169 0.37087877 0.36443461]
2860,Swizz Beatz - Swizz Beatz Presents G.H.E.T.T.O. Stories,"['Feels So Good - Single Version' 'Harness Your Hopes - (B-side)'
 ""Gideon's Bible"" '¡Que Vida!' '¡Que Vida!']",[168.85362945 166.05370555 160.52912608 159.36113191 159.36113191],[68.23497796 67.12038708 66.89372704 66.29735083 66.29735083],[0.40410726 0.40420891 0.41670773 0.41601958 0.41601958]
2861,Disco Ensemble – The Island Of Disco Ensemble,"['Notion' ""Can't You See"" ""I Don't Want to Be"" 'Bite My Tongue'
 'The View From The Afternoon']",[138.58436226 137.1832107  130.2158363  128.529659   115.69373245],[70.11839725 69.13675443 66.15681149 65.17437582 58.7481581 ],[0.50596183 0.50397388 0.50805504 0.50707655 0.50779033]
2862,MY MIX 2,"['In Thee' 'Letter from America - Band Version' 'Hold On' 'Space Monkey'
 'Fire And The Thud']",[171.50655244 168.80201564 168.3744401  162.57184362 161.91166836],[66.26481464 65.43608245 65.2277253  62.87847435 62.2005895 ],[0.386369   0.38764989 0.38739684 0.38677346 0.38416372]
2863,Foals,"['May This Be Love' 'Harness Your Hopes - (B-side)' 'Freedom Song' 'Mind'
 'Amazing']",[191.58967804 188.46232303 182.7823926  182.57455257 177.60625638],[67.42047906 67.12038708 65.48681285 64.13878925 64.63106305],[0.35190037 0.35614751 0.35827747 0.35130191 0.36390082]
2864,Ingrid*,"[""I Think I'm In Love"" 'In Thee' 'Letter from America - Band Version'
 'Tobacco Road' 'Drive']",[183.65021221 182.42085156 180.47097317 177.09022294 164.27432315],[67.52902667 66.26481464 65.43608245 65.30326833 60.34286411],[0.36770459 0.36325241 0.36258508 0.36875705 0.36732986]
2865,April 2015 - Within Earshot,"[""Rockin' Bones"" 'Penny Lane - Remastered 2015' 'Alice' 'Cómo Duele'
 'Mandocello']",[307.754428   303.51096041 300.76089016 289.05818476 281.90015353],[68.35529609 70.61806553 69.86956396 67.55321681 65.18667362],[0.22210987 0.23267056 0.23230934 0.2337011  0.23124029]
2866,"Oh right, the 80's","['What It Feels Like for a Girl' 'Wrong to Love You' 'Fire'
 'Version City - Remastered' 'Might As Well Get Stoned']",[189.22990893 180.71601248 180.18458176 166.96308216 166.82899828],[67.95226263 64.21026433 64.32572724 58.09231112 59.86511263],[0.35909896 0.35531032 0.35699907 0.34793507 0.35884117]
2867,Woe Is Me,"['Greatest-Hits' 'Got To Choose' 'I Came As a Rat' ""My Time Ain't Long""
 'King Harvest (Has Surely Come) - Live At The Academy Of Music, New York, 1971 / Remastered 2001']",[192.7148967  179.23569378 178.43442353 171.11527179 167.46530888],[67.44306341 62.2751969  61.91049856 61.13715042 56.63124323],[0.3499629  0.34744863 0.34696499 0.35728635 0.33816701]
2868,Drinks and music for old men,"[""Don't Let Me Down - 2015 Remaster"" ""Don't Let Me Down - 2015 Remaster""
 'The Fear' ""Miss Judy's Farm"" 'The New Soft Shoe - Remastered Version']",[197.78308757 197.78308757 187.88032496 187.74244598 186.72239163],[67.68945832 67.68945832 66.60089775 64.40495454 66.18114855],[0.34224088 0.34224088 0.35448575 0.34304951 0.35443606]
2869,Spanish indie,"['Red Shoes By The Drugstore' ""Daddy's Song"" 'Mr. Clean'
 ""Miss Judy's Farm"" 'All of Me']",[193.6207532  191.44326045 191.3309408  184.35342212 179.07432508],[67.88829934 66.382189   66.76275612 64.40495454 64.50847413],[0.35062512 0.34674602 0.34893863 0.34935589 0.36023296]
2870,Party Never Ends,"[""I Think I'm In Love"" 'Letter from America - Band Version'
 'Spirit In The Sky' 'Drive' 'Ride Captain Ride']",[188.78031132 182.50642866 181.87659733 167.65797184 160.73118526],[67.52902667 65.43608245 65.63263754 60.34286411 57.69694201],[0.35771223 0.35854125 0.36086357 0.35991646 0.35896545]
2871,Active Child,"[""Don't Let Me Down - 2015 Remaster"" ""Don't Let Me Down - 2015 Remaster""
 'Trains And Boats And Planes' 'The Mountain' 'The Little Drummer Boy']",[289.97396036 289.97396036 287.64408708 285.27950741 284.67447838],[67.68945832 67.68945832 66.8713586  61.10250348 66.15477145],[0.23343289 0.23343289 0.23247952 0.21418469 0.23238743]
2872,Superhet Moodboard Moonbeam Whatever,"['Killer Queen - Remastered 2011' 'Killer Queen - Remastered 2011'
 'Satellite of Love - Demo Version; 2015 Remaster' 'Here Today - Stereo'
 'Texas Rose Cafe']",[181.53228209 181.53228209 178.19505391 170.11712973 170.0812996 ],[70.34042207 70.34042207 69.40441283 66.06338806 66.56632306],[0.38748162 0.38748162 0.38948563 0.3883406  0.39137944]
2873,Misfits - Legacy Of Brutality,"['Honey I Sure Miss You' 'Syndicate' 'Swing On This' 'Harvester of Eyes'
 ""The Good's Gone""]",[186.30980558 177.58018062 155.3300635  144.35080651 140.89801645],[67.33001998 67.56367314 59.07128937 55.01314052 52.98780855],[0.36138742 0.38046855 0.38029528 0.38110726 0.37607207]
2874,Björk – Homogenic,"['Love Is Blue' 'Hats off To (Roy) Harper - Remaster'
 'Hats off To (Roy) Harper - Remaster' 'Sunset' 'Cousin Mary - Mono']",[182.37134639 177.93215196 177.93215196 160.55166286 140.15557773],[66.56758396 66.72415392 66.72415392 61.89425205 54.85925102],[0.3650112  0.37499773 0.37499773 0.38550988 0.39141682]
2875,brazilian things,"['Feels So Good - Single Version' 'Home' ""Daddy's Song""
 ""Don't Let No One Get You Down"" 'Hell Is Round The Corner']",[225.58292934 221.1649577  220.64350014 219.35031315 210.14469622],[68.23497796 67.2674648  66.382189   66.10336407 63.94540824],[0.3024829  0.30415065 0.30085722 0.30135979 0.30429228]
2876,Manic Street Preachers – This Is My Truth Tell Me Yours,"['Seventeen' 'Hard as a Rock' 'Metal Warriors'
 'Do You Know, Do You Care? - 2016 Remaster' 'The Calling (Mk II)']",[112.19323981 110.66685934 100.10505466  86.94516357  61.01923001],[57.79177169 58.11558824 53.02605289 45.21133436 32.32998903],[0.51510922 0.52513994 0.52970405 0.51999827 0.52983279]
2877,Miami 2 Ibiza,"['The Other Side' 'Vibration (Extended Version)' 'We Are Tonight'
 'Learning to Survive' 'Let Me Out']",[150.23790395 129.88922763 125.58902386 124.51307535 118.9582221 ],[66.47800214 56.79416509 55.57809154 54.91572841 52.57416083],[0.44248489 0.43725077 0.4425394  0.44104387 0.44195483]
2878,Ska & Punk,"['Mi Enemigo El Amor' ""I'm Alive"" 'Last Time' ""I'll Be Creeping""
 'El Vendedor - (Remasterizado)']",[337.81769002 311.25447649 310.71227723 298.30814675 284.91157939],[65.50203167 61.88770465 64.61181885 61.35309178 59.24453262],[0.19389758 0.19883314 0.20794743 0.20567019 0.20794007]
2879,Duran Duran The Biggest And Best CD2,"['What It Feels Like for a Girl' 'Letter from America - Band Version'
 'Sentimental Street' 'In Thee' 'Home']",[586.69058718 568.44705553 548.02544423 511.5905778  502.60083061],[67.95226263 65.43608245 67.83506297 66.26481464 67.2674648 ],[0.115823   0.11511377 0.12378086 0.12952704 0.13383875]
2880,Gyminem,"['Break Up In A Small Town' 'B R Right (feat. Ludacris)' 'Besos Mojados'
 'Besos Mojados' 'I']",[192.27681515 187.76044345 187.15619704 187.15619704 175.11647178],[59.3113131  55.93086664 59.57825297 59.57825297 55.01122749],[0.30846836 0.29788418 0.31833439 0.31833439 0.31414079]
2881,Sólo La Pegatina,"[""Don't Misunderstand Me"" ""Somebody's Crying"" ""I'll Be Creeping""
 'Lo Nuestro Terminó' 'Little Angel Child']",[396.451353   394.90377253 371.12106779 370.41600573 330.60255285],[67.40901778 69.09573015 61.35309178 66.37917668 61.81645103],[0.17003099 0.17496852 0.16531827 0.1792017  0.18698117]
2882,Calming ,"['Dirty Old Town' 'Right My Wrongs' 'Amazed' 'Heaven in Your Eyes'
 'I Cross My Heart']",[268.08680267 261.55823238 258.5270987  256.14187781 253.0341275 ],[65.77090195 66.23227722 66.54634216 64.99577746 65.21999501],[0.24533435 0.25322192 0.25740567 0.25374913 0.25775177]
2883,Various Artists – I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1,"['Sierra Leone' 'Harness Your Hopes - (B-side)' 'Might As Well Get Stoned'
 'Ride Captain Ride'
 'King Harvest (Has Surely Come) - Live At The Academy Of Music, New York, 1971 / Remastered 2001']",[420.8428013  405.97371322 371.57404615 346.75799716 334.13187222],[69.86321448 67.12038708 59.86511263 57.69694201 56.63124323],[0.16600786 0.16533185 0.1611122  0.16638965 0.1694877 ]
2884,Aaron kamm,"['Hold On' 'Tobacco Road' 'Letter from America - Band Version'
 ""At Least I'm Not as Sad (As I Used to Be)"" 'Space Monkey']",[141.31070872 141.2696287  141.15523628 139.21750436 136.0040794 ],[65.2277253  65.30326833 65.43608245 64.47914183 62.87847435],[0.46159082 0.46225979 0.46357531 0.46315398 0.46232786]
2885,Björn Rosenström Favoriter,"['How Soon Is Now?'
 'Love Rain Down - Myon & Shane 54 Summer Of Love Radio Edit' 'Suiren'
 ""Couldn't Stand the Weather"" ""Couldn't Stand the Weather""]",[209.29460246 208.77191379 165.66967442 156.19833226 152.45242751],[66.62541449 59.31445924 52.9919729  49.28918109 45.00151899],[0.31833317 0.2841113  0.31986526 0.3155551  0.29518401]
2886,Made In México ,"['Cigarettes out the Window' ""Don't Need No Reason"" 'I Love L.A.'
 ""I Know There's An Answer"" '園遊會']",[309.04264623 307.63414255 305.92842788 295.2358775  267.69991114],[67.10958585 67.69916023 65.94347545 66.67567325 60.12952828],[0.21715316 0.22006387 0.21555197 0.22583865 0.22461542]
2887,Toteking ,"['Stage Fright - Remastered 2000' ""Just You 'N' Me - 2002 Remaster""
 ""Who's Been Sleeping Here?"" 'For You' ""Every Mother's Son""]",[254.85229309 247.03861798 243.3930408  238.54594836 233.62978124],[68.28435427 66.40674029 66.19454496 63.88570672 64.00108072],[0.26793698 0.26881117 0.27196564 0.267813   0.2739423 ]
2888,Johann Sebastian Bach – My First Bach Album,"['24 Preludes, Op. 28: Prelude No. 13 in F-sharp'
 'Goldberg Variations, BWV 988: Aria da capo - 1955 Version'
 'Mandolino Mandolino' 'Rafaga' 'Petite suite, L. 65: II. Cortège']",[461.83206478 449.04985511 430.57922628 414.99999994 399.14008282],[62.15566576 65.17219224 65.26326522 64.9709043  63.11814542],[0.13458499 0.14513353 0.15157086 0.1565564  0.15813532]
2889,Various Artists – Hohokum Soundtrack,['A Walk' 'Coastal Brake' 'The Birds' 'Heart Pulse' 'Imaginary Folklore'],[350.58884482 318.35882872 234.80386529 224.72919255 217.63824414],[39.4272686  35.80267666 42.11447449 43.1572317  43.54106847],[0.11246013 0.11246013 0.17936023 0.19204106 0.20006166]
2890,Tinker Tailor Soldier Spy,"['Loneliness Loneliness' 'Harness Your Hopes - (B-side)' 'The Fear'
 'Train Man' ""Miss Judy's Farm""]",[169.85654537 168.87249348 164.91103802 163.97849289 163.21255704],[65.97869849 67.12038708 66.60089775 65.94833161 64.40495454],[0.38843777 0.39746193 0.40385955 0.40217672 0.39460784]
2891,Lady Gaga - Applause,"['Applause' 'Applause' 'The Fighter' 'Kay Kay' 'Come On, Come On']",[3364.22925459 3297.60045249  620.81884495  586.42005849  533.29700087],[69.64921417 68.26980648 69.30146741 67.07792656 61.09149638],[0.02070287 0.02070287 0.11162913 0.11438546 0.11455436]
2892,Counting Crows — Mr. Jones,['Salvation' 'Firework' 'Firework' 'Intoxicated' 'Shake My Tree'],[487.77545916 452.85563363 452.85563363 446.46706426 389.06064446],[58.69908464 52.55022142 52.55022142 53.58751652 45.08807488],[0.12034038 0.11604189 0.11604189 0.12002569 0.11588958]
